Partido,Local,Visitante,Temporada,Puntos Local,Puntos Visitante,Puntos en zona Local,Puntos 2a oportunidad Local,Puntos en transición Local,Triples Local,Triples intentados Local,% triples Local,Tiros libres Local,Tiros libres intentados Local,% tiros libres Local,Puntos en zona Visitante,Puntos 2a oportunidad Visitante,Puntos en transición Visitante,Triples Visitante,Triples intentados Visitante,% triples Visitante,Tiros libres Visitante,Tiros libres intentados Visitante,% tiros libres Visitante,Puntos de media distancia Local,Puntos de media distancia Visitante,Puntos en zona Total,Puntos de media distancia Total,Puntos de 3 Total,Puntos tiros libres Total,Puntos en transición Total,Puntos Total,Triples intentados Total,Triples encestados Total
LAL vs. PHX,LAL,PHX,2006,114.0,106.0,66.0,9.0,25.0,6.0,12.0,0.5,16.0,24.0,0.667,34.0,8.0,20.0,13.0,30.0,0.433,13.0,17.0,0.765,26.0,46.0,100.0,72.0,57.0,29.0,45.0,220.0,42.0,19.0
MIA vs. CHI,MIA,CHI,2006,66.0,108.0,26.0,2.0,6.0,3.0,17.0,0.176,13.0,22.0,0.591,36.0,18.0,21.0,7.0,13.0,0.538,23.0,32.0,0.719,24.0,42.0,62.0,66.0,30.0,36.0,27.0,174.0,30.0,10.0
MEM vs. NYK,,,2006,117.0,118.0,,,,6.0,21.0,0.286,27.0,45.0,0.6,,,,10.0,22.0,0.455,28.0,36.0,0.778,,,,,48.0,55.0,,235.0,43.0,16.0
NJN vs. TOR,TOR,NJN,2006,102.0,92.0,40.0,13.0,21.0,3.0,18.0,0.167,19.0,24.0,0.792,44.0,10.0,20.0,4.0,20.0,0.2,14.0,20.0,0.7,40.0,30.0,84.0,70.0,21.0,33.0,41.0,194.0,38.0,7.0
ORL vs. CHI,CHI,ORL,2006,109.0,94.0,38.0,11.0,9.0,6.0,8.0,0.75,33.0,42.0,0.786,44.0,10.0,17.0,6.0,20.0,0.3,14.0,24.0,0.583,32.0,30.0,82.0,62.0,36.0,47.0,26.0,203.0,28.0,12.0
CLE vs. WAS,WAS,CLE,2006,97.0,94.0,46.0,14.0,19.0,8.0,19.0,0.421,15.0,30.0,0.5,38.0,18.0,8.0,2.0,13.0,0.154,20.0,29.0,0.69,28.0,34.0,84.0,62.0,30.0,35.0,27.0,191.0,32.0,10.0
GSW vs. LAL,GSW,LAL,2006,98.0,110.0,44.0,16.0,19.0,3.0,19.0,0.158,27.0,42.0,0.643,56.0,21.0,11.0,5.0,17.0,0.294,27.0,41.0,0.659,24.0,22.0,100.0,46.0,24.0,54.0,30.0,208.0,36.0,8.0
PHX vs. LAC,LAC,PHX,2006,112.0,104.0,30.0,22.0,2.0,4.0,15.0,0.267,26.0,30.0,0.867,48.0,6.0,17.0,4.0,10.0,0.4,24.0,29.0,0.828,52.0,28.0,78.0,80.0,24.0,50.0,19.0,216.0,25.0,8.0
CHA vs. IND,CHA,IND,2006,99.0,106.0,52.0,13.0,21.0,4.0,10.0,0.4,21.0,32.0,0.656,48.0,15.0,23.0,6.0,16.0,0.375,30.0,41.0,0.732,22.0,22.0,100.0,44.0,30.0,51.0,44.0,205.0,26.0,10.0
PHI vs. ATL,PHI,ATL,2006,88.0,75.0,36.0,14.0,13.0,3.0,9.0,0.333,23.0,25.0,0.92,34.0,16.0,11.0,4.0,17.0,0.235,19.0,22.0,0.864,26.0,18.0,70.0,44.0,21.0,42.0,24.0,163.0,26.0,7.0
